target_chembl_id,target_organism,target_pref_name,molecule_chembl_id,molecule_pref_name,pchembl_value,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id
CHEMBL5017,Cavia porcellus,Serotonin 4 (5-HT4) receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909107
CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909108
CHEMBL228,Homo sapiens,Serotonin transporter,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909109
CHEMBL287,Homo sapiens,Sigma opioid receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909110
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909111
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909112
CHEMBL249,Homo sapiens,Neurokinin 1 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909113
CHEMBL2327,Homo sapiens,Neurokinin 2 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909114
CHEMBL3072,Rattus norvegicus,Androgen Receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909115
CHEMBL1835,Homo sapiens,Thromboxane-A synthase,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909116
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909117
CHEMBL1868,Homo sapiens,Vascular endothelial growth factor receptor 1,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909118
CHEMBL5144,Homo sapiens,Vasoactive intestinal polypeptide receptor 1,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909119
CHEMBL1889,Homo sapiens,Vasopressin V1a receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909120
CHEMBL220,Homo sapiens,Acetylcholinesterase,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909212
CHEMBL226,Homo sapiens,Adenosine A1 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909213
CHEMBL251,Homo sapiens,Adenosine A2a receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909214
CHEMBL256,Homo sapiens,Adenosine A3 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909215
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909084
CHEMBL319,Rattus norvegicus,Alpha-1a adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909085
CHEMBL315,Rattus norvegicus,Alpha-1b adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909086
CHEMBL223,Homo sapiens,Alpha-1d adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909087
CHEMBL1867,Homo sapiens,Alpha-2a adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909088
CHEMBL1942,Homo sapiens,Alpha-2b adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909089
CHEMBL1916,Homo sapiens,Alpha-2c adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909090
CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909091
CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909092
CHEMBL246,Homo sapiens,Beta-3 adrenergic receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909093
CHEMBL222,Homo sapiens,Norepinephrine transporter,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909094
CHEMBL2622,Rattus norvegicus,Aldose reductase,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909095
CHEMBL4607,Homo sapiens,Angiotensin II type 2 (AT-2) receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909096
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909097
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909098
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909099
CHEMBL3157,Homo sapiens,Bradykinin B2 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909100
CHEMBL1832,Homo sapiens,Calcitonin receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909101
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909102
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909103
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909121
CHEMBL218,Homo sapiens,Cannabinoid CB1 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909122
CHEMBL205,Homo sapiens,Carbonic anhydrase II,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909123
CHEMBL4015,Homo sapiens,C-C chemokine receptor type 2,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909124
CHEMBL2414,Homo sapiens,C-C chemokine receptor type 4,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909125
CHEMBL274,Homo sapiens,C-C chemokine receptor type 5,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909126
CHEMBL4029,Homo sapiens,Interleukin-8 receptor A,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909127
CHEMBL2434,Homo sapiens,Interleukin-8 receptor B,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909128
CHEMBL1901,Homo sapiens,Cholecystokinin A receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909129
CHEMBL221,Homo sapiens,Cyclooxygenase-1,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909130
CHEMBL230,Homo sapiens,Cyclooxygenase-2,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909131
CHEMBL3356,Homo sapiens,Cytochrome P450 1A2,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909132
CHEMBL5282,Homo sapiens,Cytochrome P450 2A6,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909133
CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909134
CHEMBL3397,Homo sapiens,Cytochrome P450 2C9,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909135
CHEMBL289,Homo sapiens,Cytochrome P450 2D6,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909136
CHEMBL5281,Homo sapiens,Cytochrome P450 2E1,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909137
CHEMBL340,Homo sapiens,Cytochrome P450 3A4,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909138
CHEMBL2056,Homo sapiens,Dopamine D1 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909139
CHEMBL217,Homo sapiens,Dopamine D2 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909140
CHEMBL234,Homo sapiens,Dopamine D3 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909141
CHEMBL219,Homo sapiens,Dopamine D4 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909142
CHEMBL238,Homo sapiens,Dopamine transporter,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909143
CHEMBL252,Homo sapiens,Endothelin receptor ET-A,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909144
CHEMBL206,Homo sapiens,Estrogen receptor alpha,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909145
CHEMBL242,Homo sapiens,Estrogen receptor beta,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909146
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909147
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909148
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909149
CHEMBL2034,Homo sapiens,Glucocorticoid receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909150
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909151
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909152
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909153
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909154
CHEMBL3392921,Rattus norvegicus,Glycine receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909155
CHEMBL231,Homo sapiens,Histamine H1 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909156
CHEMBL1941,Homo sapiens,Histamine H2 receptor,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909157
CHEMBL402,Homo sapiens,HMG-CoA reductase,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909158
CHEMBL612545,,Unchecked,CHEMBL286398,PROPYLENE GLYCOL,,IC50,,,,CHEMBL1909159
CHEMBL385,Homo sapiens,K562,CHEMBL14021,PROPIONIC ACID,,IC50,=,4000000.0,nM,CHEMBL705727
CHEMBL5493,Homo sapiens,Free fatty acid receptor 2,CHEMBL14021,PROPIONIC ACID,,IC50,=,130000.0,nM,CHEMBL1069216
CHEMBL340,Homo sapiens,Cytochrome P450 3A4,CHEMBL266158,PYRIDINE,,IC50,=,4000000.0,nM,CHEMBL3817398
CHEMBL2331065,Homo sapiens,Alpha-ketoglutarate-dependent dioxygenase FTO,CHEMBL1162144,PYRUVATE,,IC50,>,1000000.0,nM,CHEMBL2344107
CHEMBL3797016,Homo sapiens,C-terminal-binding protein 2,CHEMBL1162144,PYRUVATE,,IC50,>,300000.0,nM,CHEMBL3804623
CHEMBL386,Mus musculus,L1210,CHEMBL23194,SPERMINE,6.41,IC50,=,390.0,nM,CHEMBL710186
CHEMBL612545,,Unchecked,CHEMBL23194,SPERMINE,,IC50,>,100000.0,nM,CHEMBL680531
CHEMBL345,,Nucleic Acid,CHEMBL23194,SPERMINE,5.52,IC50,=,3000.0,nM,CHEMBL660981
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL23194,SPERMINE,,IC50,>,100000.0,nM,CHEMBL680530
CHEMBL345,,Nucleic Acid,CHEMBL23194,SPERMINE,4.77,IC50,=,17000.0,nM,CHEMBL656153
CHEMBL612514,Bos taurus,Calf thymus DNA,CHEMBL23194,SPERMINE,5.37,IC50,=,4300.0,nM,CHEMBL660979
CHEMBL345,,Nucleic Acid,CHEMBL23194,SPERMINE,5.55,IC50,=,2800.0,nM,CHEMBL762625
CHEMBL345,,Nucleic Acid,CHEMBL23194,SPERMINE,5.22,IC50,=,6000.0,nM,CHEMBL762469
CHEMBL399,Homo sapiens,HeLa,CHEMBL23194,SPERMINE,4.16,IC50,=,70000.0,nM,CHEMBL690119
CHEMBL399,Homo sapiens,HeLa,CHEMBL23194,SPERMINE,4.30,IC50,=,50000.0,nM,CHEMBL690911
CHEMBL1907608,Rattus norvegicus,Glutamate NMDA receptor,CHEMBL23194,SPERMINE,,IC50,=,232000.0,nM,CHEMBL751566
CHEMBL2097166,Bos taurus,Phosphodiesterase 1,CHEMBL23194,SPERMINE,,IC50,>,500000.0,nM,CHEMBL864631
CHEMBL614558,Cricetulus griseus,CHO-MG,CHEMBL23194,SPERMINE,,IC50,>,100000.0,nM,CHEMBL864638
CHEMBL386,Mus musculus,L1210,CHEMBL23194,SPERMINE,4.26,IC50,=,54500.0,nM,CHEMBL944409
CHEMBL613853,Cricetulus griseus,CHO,CHEMBL23194,SPERMINE,,IC50,>,100000.0,nM,CHEMBL944410
CHEMBL613853,Cricetulus griseus,CHO,CHEMBL23194,SPERMINE,,IC50,>,100000.0,nM,CHEMBL944411
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL23194,SPERMINE,,IC50,,,,CHEMBL944412
CHEMBL613508,Homo sapiens,DU-145,CHEMBL23194,SPERMINE,,IC50,,,,CHEMBL944413
CHEMBL387,Homo sapiens,MCF7,CHEMBL23194,SPERMINE,,IC50,,,,CHEMBL944414
CHEMBL385,Homo sapiens,K562,CHEMBL23194,SPERMINE,,IC50,,,,CHEMBL944415
CHEMBL615022,Homo sapiens,U-251,CHEMBL23194,SPERMINE,,IC50,,,,CHEMBL944416
CHEMBL612794,Homo sapiens,U-937,CHEMBL23194,SPERMINE,,IC50,,,,CHEMBL1047984
CHEMBL614064,Mus musculus,P19,CHEMBL23194,SPERMINE,,IC50,,,,CHEMBL1047986
CHEMBL612545,,Unchecked,CHEMBL23194,SPERMINE,,IC50,,,,CHEMBL3637405
CHEMBL1806,Homo sapiens,DNA topoisomerase II alpha,CHEMBL23194,SPERMINE,,IC50,>,1000000.0,nM,CHEMBL4047200
CHEMBL391,Chlorocebus aethiops,Vero,CHEMBL576,SUCCINIC ACID,8.89,IC50,=,1.3,nM,CHEMBL815922
CHEMBL612545,,Unchecked,CHEMBL576,SUCCINIC ACID,,IC50,>,10000000.0,nM,CHEMBL946271
CHEMBL612545,,Unchecked,CHEMBL576,SUCCINIC ACID,,IC50,=,320000.0,nM,CHEMBL946273
CHEMBL612545,,Unchecked,CHEMBL576,SUCCINIC ACID,,IC50,=,710000.0,nM,CHEMBL946272
CHEMBL5697,Homo sapiens,Egl nine homolog 1,CHEMBL576,SUCCINIC ACID,5.52,IC50,=,3000.0,nM,CHEMBL946281
CHEMBL612545,,Unchecked,CHEMBL576,SUCCINIC ACID,4.07,IC50,=,85300.0,nM,CHEMBL1006266
CHEMBL5697,Homo sapiens,Egl nine homolog 1,CHEMBL576,SUCCINIC ACID,4.07,IC50,=,85300.0,nM,CHEMBL1047006
CHEMBL5697,Homo sapiens,Egl nine homolog 1,CHEMBL576,SUCCINIC ACID,,IC50,>,10000000.0,nM,CHEMBL2318589
CHEMBL4150,Plasmodium falciparum,Enoyl-acyl-carrier protein reductase,CHEMBL239243,TAURINE,,IC50,>,100.0,ug.mL-1,CHEMBL941857
CHEMBL364,Plasmodium falciparum,Plasmodium falciparum,CHEMBL239243,TAURINE,,IC50,>,50.0,ug.mL-1,CHEMBL941858
CHEMBL612348,Trypanosoma brucei rhodesiense,Trypanosoma brucei rhodesiense,CHEMBL239243,TAURINE,,IC50,=,83.4,ug.mL-1,CHEMBL941859
CHEMBL368,Trypanosoma cruzi,Trypanosoma cruzi,CHEMBL239243,TAURINE,,IC50,>,30.0,ug.mL-1,CHEMBL941860
CHEMBL367,Leishmania donovani,Leishmania donovani,CHEMBL239243,TAURINE,,IC50,>,30.0,ug.mL-1,CHEMBL941861
CHEMBL614793,Rattus norvegicus,L6,CHEMBL239243,TAURINE,,IC50,>,90.0,ug.mL-1,CHEMBL941862
CHEMBL3880,Homo sapiens,Heat shock protein HSP 90-alpha,CHEMBL1547,THIAMINE,4.90,IC50,=,12500.0,nM,CHEMBL3061740
CHEMBL5685,Homo sapiens,Solute carrier family 22 member 1,CHEMBL1547,THIAMINE,,IC50,=,4354000.0,nM,CHEMBL4009597
CHEMBL220,Homo sapiens,Acetylcholinesterase,CHEMBL9113,TOLUENE,5.31,IC50,=,4900.0,nM,CHEMBL643382
CHEMBL220,Homo sapiens,Acetylcholinesterase,CHEMBL9113,TOLUENE,8.28,IC50,=,5.248,nM,CHEMBL648291
CHEMBL3072,Rattus norvegicus,Androgen Receptor,CHEMBL13883,VANILLIN,,IC50,>,426579.52,nM,CHEMBL872182
CHEMBL1911,Homo sapiens,Succinate semialdehyde dehydrogenase,CHEMBL13883,VANILLIN,4.81,IC50,=,15600.0,nM,CHEMBL867028
CHEMBL2044,Homo sapiens,Gamma-amino-N-butyrate transaminase,CHEMBL13883,VANILLIN,4.77,IC50,=,17100.0,nM,CHEMBL867027
CHEMBL612545,,Unchecked,CHEMBL13883,VANILLIN,,IC50,=,50500000.0,nM,CHEMBL891104
CHEMBL612545,,Unchecked,CHEMBL13883,VANILLIN,,IC50,=,19952623149.69,nM,CHEMBL891104
CHEMBL614806,Homo sapiens,H9,CHEMBL13883,VANILLIN,,IC50,>,100.0,ug.mL-1,CHEMBL949641
CHEMBL613712,,Radical scavenging activity,CHEMBL13883,VANILLIN,,IC50,>,100000.0,nM,CHEMBL1037382
CHEMBL395,Homo sapiens,HepG2,CHEMBL13883,VANILLIN,,IC50,>,20.0,ug.mL-1,CHEMBL1103253
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL13883,VANILLIN,,IC50,>,20.0,ug.mL-1,CHEMBL1103252
CHEMBL400,Homo sapiens,MDA-MB-231,CHEMBL13883,VANILLIN,,IC50,>,20.0,ug.mL-1,CHEMBL1103254
CHEMBL387,Homo sapiens,MCF7,CHEMBL13883,VANILLIN,,IC50,=,15.69,ug.mL-1,CHEMBL1103255
CHEMBL1075404,Homo sapiens,Ca9-22,CHEMBL13883,VANILLIN,,IC50,>,20.0,ug.mL-1,CHEMBL1103256
CHEMBL392,Homo sapiens,A549,CHEMBL13883,VANILLIN,,IC50,=,16.42,ug.mL-1,CHEMBL1103257
CHEMBL387,Homo sapiens,MCF7,CHEMBL13883,VANILLIN,,IC50,>,50000.0,nM,CHEMBL1226011
CHEMBL396,Homo sapiens,NCI-H460,CHEMBL13883,VANILLIN,,IC50,>,50000.0,nM,CHEMBL1226012
CHEMBL613977,Homo sapiens,SF-268,CHEMBL13883,VANILLIN,,IC50,>,50000.0,nM,CHEMBL1226013
CHEMBL1687677,Sus scrofa,Pancreatic triacylglycerol lipase,CHEMBL13883,VANILLIN,4.13,IC50,=,74400.0,nM,CHEMBL1685414
CHEMBL3142,Homo sapiens,DNA-dependent protein kinase,CHEMBL13883,VANILLIN,,IC50,=,1500000.0,nM,CHEMBL2183420
CHEMBL613823,Gibberella moniliformis,Fusarium moniliforme,CHEMBL13883,VANILLIN,,IC50,=,300.0,ug.mL-1,CHEMBL3060118
CHEMBL612647,Candida glabrata,Candida glabrata,CHEMBL13883,VANILLIN,,IC50,=,483.06,ug.mL-1,CHEMBL3411983
CHEMBL366,Candida albicans,Candida albicans,CHEMBL13883,VANILLIN,,IC50,=,321.36,ug.mL-1,CHEMBL3411981
CHEMBL612870,Candida tropicalis,Candida tropicalis,CHEMBL13883,VANILLIN,,IC50,=,123.4,ug.mL-1,CHEMBL3411985
CHEMBL391,Chlorocebus aethiops,Vero,CHEMBL13883,VANILLIN,,IC50,,,,CHEMBL3411987
CHEMBL612545,,Unchecked,CHEMBL13883,VANILLIN,,IC50,,,,CHEMBL3429257
CHEMBL1940,Homo sapiens,Voltage-gated L-type calcium channel alpha-1C subunit,CHEMBL13883,VANILLIN,,IC50,,,,CHEMBL3638076
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL13883,VANILLIN,4.31,IC50,=,49200.0,nM,CHEMBL3864554
CHEMBL612545,,Unchecked,CHEMBL13883,VANILLIN,,IC50,>,100000.0,nM,CHEMBL4014684
CHEMBL612545,,Unchecked,CHEMBL13883,VANILLIN,,IC50,>,100000.0,nM,CHEMBL4014685
CHEMBL612545,,Unchecked,CHEMBL13883,VANILLIN,,IC50,=,14400000.0,nM,CHEMBL4193264
CHEMBL2364041,Bacteria,DNA,CHEMBL13883,VANILLIN,5.25,IC50,=,5600.0,nM,CHEMBL4253126
CHEMBL612545,,Unchecked,CHEMBL13883,VANILLIN,,IC50,=,4050000.0,nM,CHEMBL4253121
CHEMBL1075319,Homo sapiens,Transient receptor potential cation channel subfamily M member 8,CHEMBL256087,MENTHOL,4.04,IC50,=,92000.0,nM,CHEMBL1243615
CHEMBL1075319,Homo sapiens,Transient receptor potential cation channel subfamily M member 8,CHEMBL256087,MENTHOL,4.72,IC50,=,19000.0,nM,CHEMBL1243616
CHEMBL1075319,Homo sapiens,Transient receptor potential cation channel subfamily M member 8,CHEMBL256087,MENTHOL,,IC50,=,520000.0,nM,CHEMBL1243617
CHEMBL612558,,ADMET,CHEMBL328910,"2,4-DIHYDROXYBENZOIC ACID",,IC50,=,22000000.0,nM,CHEMBL696373
CHEMBL612545,,Unchecked,CHEMBL328910,"2,4-DIHYDROXYBENZOIC ACID",,IC50,=,30500000.0,nM,CHEMBL891104
CHEMBL612545,,Unchecked,CHEMBL328910,"2,4-DIHYDROXYBENZOIC ACID",,IC50,=,33113112148.26,nM,CHEMBL891104
CHEMBL612545,,Unchecked,CHEMBL328910,"2,4-DIHYDROXYBENZOIC ACID",,IC50,>,100000.0,nM,CHEMBL2168061
CHEMBL612545,,Unchecked,CHEMBL328910,"2,4-DIHYDROXYBENZOIC ACID",,IC50,,,,CHEMBL3061391
CHEMBL612545,,Unchecked,CHEMBL328910,"2,4-DIHYDROXYBENZOIC ACID",,IC50,=,116000.0,nM,CHEMBL3998916
CHEMBL612545,,Unchecked,CHEMBL328910,"2,4-DIHYDROXYBENZOIC ACID",,IC50,=,116000.0,nM,CHEMBL4231088
CHEMBL612545,,Unchecked,CHEMBL346919,APOCYNIN,,IC50,=,1090000.0,nM,CHEMBL1040424
CHEMBL612545,,Unchecked,CHEMBL346919,APOCYNIN,,IC50,=,61000000.0,nM,CHEMBL1040427
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL346919,APOCYNIN,5.41,IC50,=,3900.0,nM,CHEMBL3124645
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,7.70,IC50,=,20.0,nM,CHEMBL747405
CHEMBL276,Rattus norvegicus,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,5.76,IC50,=,1740.0,nM,CHEMBL752316
CHEMBL612545,,Unchecked,CHEMBL7303,ARECOLINE,6.00,IC50,=,1000.0,nM,CHEMBL744383
CHEMBL614518,Mus musculus,A9,CHEMBL7303,ARECOLINE,5.92,IC50,=,1200.0,nM,CHEMBL620434
CHEMBL216,Homo sapiens,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,,IC50,=,115500.0,nM,CHEMBL744234
CHEMBL216,Homo sapiens,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,6.94,IC50,=,115.0,nM,CHEMBL744235
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,6.00,IC50,=,1000.0,nM,CHEMBL748599
CHEMBL276,Rattus norvegicus,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,7.11,IC50,=,77.0,nM,CHEMBL752914
CHEMBL276,Rattus norvegicus,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,5.89,IC50,=,1300.0,nM,CHEMBL751533
CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,CHEMBL7303,ARECOLINE,6.26,IC50,=,545.0,nM,CHEMBL771610
CHEMBL369,Cavia porcellus,Cavia porcellus,CHEMBL7303,ARECOLINE,6.22,IC50,=,600.0,nM,CHEMBL692807
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,4.55,IC50,=,28000.0,nM,CHEMBL744133
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,5.77,IC50,=,1700.0,nM,CHEMBL744134
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,5.68,IC50,=,2100.0,nM,CHEMBL744132
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,7.80,IC50,=,16.0,nM,CHEMBL873442
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,7.62,IC50,=,24.0,nM,CHEMBL845360
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,6.94,IC50,=,115.0,nM,CHEMBL747408
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,4.59,IC50,=,25400.0,nM,CHEMBL747409
CHEMBL309,Rattus norvegicus,Muscarinic acetylcholine receptor M2,CHEMBL7303,ARECOLINE,4.96,IC50,=,11000.0,nM,CHEMBL744024
CHEMBL309,Rattus norvegicus,Muscarinic acetylcholine receptor M2,CHEMBL7303,ARECOLINE,6.23,IC50,=,590.0,nM,CHEMBL745720
CHEMBL276,Rattus norvegicus,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,5.96,IC50,=,1100.0,nM,CHEMBL752317
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,8.72,IC50,=,1.9,nM,CHEMBL747406
CHEMBL369,Cavia porcellus,Cavia porcellus,CHEMBL7303,ARECOLINE,,IC50,>,1000.0,nM,CHEMBL686659
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,5.25,IC50,=,5600.0,nM,CHEMBL747407
CHEMBL276,Rattus norvegicus,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,5.76,IC50,=,1737.8,nM,CHEMBL857187
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,7.11,IC50,=,77.0,nM,CHEMBL747450
CHEMBL276,Rattus norvegicus,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,5.89,IC50,=,1300.0,nM,CHEMBL748852
CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,CHEMBL7303,ARECOLINE,6.26,IC50,=,545.0,nM,CHEMBL772346
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,6.00,IC50,=,1000.0,nM,CHEMBL748850
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,6.94,IC50,=,115.0,nM,CHEMBL744130
CHEMBL1907609,Rattus norvegicus,Muscarinic acetylcholine receptor,CHEMBL7303,ARECOLINE,4.72,IC50,=,19000.0,nM,CHEMBL744131
CHEMBL216,Homo sapiens,Muscarinic acetylcholine receptor M1,CHEMBL7303,ARECOLINE,4.19,IC50,=,65000.0,nM,CHEMBL744321
CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2,CHEMBL7303,ARECOLINE,5.75,IC50,=,1800.0,nM,CHEMBL748246
